customer_id,email,phone_number,source_vendor,last_event_time,last_ingested_at
CUST-00001,user510@example.com,+2348053113090,vendor_a,2023-08-16 18:33:00+00:00,2026-02-19 15:51:13+00:00
CUST-00002,user816@example.com,+2348028532770,vendor_b,2023-12-15 18:09:54+00:00,2026-02-19 15:51:13+00:00
CUST-00008,user346@mail.com,+2348024941208,vendor_b,2023-01-16 17:43:21+00:00,2026-02-19 15:51:13+00:00
CUST-00009,user997@shop.ng,+2348028028246,vendor_b,2023-01-17 15:25:31+00:00,2026-02-19 15:51:13+00:00
CUST-00012,user1067@pulse.africa,+2348094361980,vendor_b,2023-01-28 09:24:09+00:00,2026-02-19 15:51:13+00:00
CUST-00014,user91@example.com,+2348047691414,vendor_a,2023-09-30 23:17:00+00:00,2026-02-19 15:51:13+00:00
CUST-00015,user1088@mail.com,,vendor_a,2023-10-23 14:50:00+00:00,2026-02-19 15:51:13+00:00
CUST-00016,user469@example.com,,vendor_a,2023-08-13 10:18:00+00:00,2026-02-19 15:51:13+00:00
CUST-00018,user49@pulse.africa,,vendor_a,2023-11-04 09:44:00+00:00,2026-02-19 15:51:13+00:00
CUST-00023,user515@example.com,,vendor_a,2023-08-30 12:59:00+00:00,2026-02-19 15:51:13+00:00
CUST-00027,,,vendor_b,2023-07-15 16:40:55+00:00,2026-02-19 15:51:13+00:00
CUST-00030,user680@example.com,+2348014593302,vendor_a,2023-10-16 03:37:00+00:00,2026-02-19 15:51:13+00:00
CUST-00032,user993@shop.ng,+2348023731131,vendor_b,2023-09-08 06:29:54+00:00,2026-02-19 15:51:13+00:00
CUST-00033,user692@shop.ng,,vendor_b,2023-02-09 04:29:27+00:00,2026-02-19 15:51:13+00:00
CUST-00034,user752@pulse.africa,+2348021746761,vendor_a,2023-11-06 05:04:00+00:00,2026-02-19 15:51:13+00:00
CUST-00035,user830@pulse.africa,+2348037937587,vendor_b,2023-12-18 19:18:12+00:00,2026-02-19 15:51:13+00:00
CUST-00036,user642@mail.com,+2348050833796,vendor_b,2023-01-11 23:33:43+00:00,2026-02-19 15:51:13+00:00
CUST-00045,,+2348069614060,vendor_b,2023-12-14 03:24:29+00:00,2026-02-19 15:51:13+00:00
CUST-00046,user26@mail.com,,vendor_a,2023-07-14 00:42:00+00:00,2026-02-19 15:51:13+00:00
CUST-00047,,,vendor_a,2023-04-04 08:05:00+00:00,2026-02-19 15:51:13+00:00
CUST-00051,user905@shop.ng,+2348071873766,vendor_a,2023-12-01 00:20:00+00:00,2026-02-19 15:51:13+00:00
CUST-00052,user995@shop.ng,,vendor_a,2023-11-19 14:37:00+00:00,2026-02-19 15:51:13+00:00
CUST-00053,user1380@example.com,+2348035254849,vendor_b,2023-03-20 23:14:08+00:00,2026-02-19 15:51:13+00:00
CUST-00054,,+2348045104776,vendor_a,2023-11-27 19:33:00+00:00,2026-02-19 15:51:13+00:00
CUST-00057,user1348@mail.com,,vendor_b,2023-10-11 11:42:18+00:00,2026-02-19 15:51:13+00:00
CUST-00061,user1149@shop.ng,+2348020435361,vendor_a,2023-09-28 10:41:00+00:00,2026-02-19 15:51:13+00:00
CUST-00062,user1284@pulse.africa,+2348067740709,vendor_a,2023-12-18 18:27:00+00:00,2026-02-19 15:51:13+00:00
CUST-00063,,+2348029653080,vendor_b,2023-02-24 10:50:18+00:00,2026-02-19 15:51:13+00:00
CUST-00065,user550@pulse.africa,+2348089783556,vendor_b,2023-12-24 00:44:48+00:00,2026-02-19 15:51:13+00:00
CUST-00067,user421@shop.ng,+2348058203522,vendor_b,2023-11-22 21:23:10+00:00,2026-02-19 15:51:13+00:00
CUST-00069,user609@example.com,+2348079461592,vendor_a,2023-07-30 13:58:00+00:00,2026-02-19 15:51:13+00:00
CUST-00073,user237@mail.com,+2348075570300,vendor_b,2023-11-16 20:05:17+00:00,2026-02-19 15:51:13+00:00
CUST-00074,user580@mail.com,,vendor_a,2023-09-21 11:01:00+00:00,2026-02-19 15:51:13+00:00
CUST-00075,user767@example.com,+2348053105260,vendor_b,2023-10-21 12:41:45+00:00,2026-02-19 15:51:13+00:00
CUST-00078,user1098@mail.com,+2348016379551,vendor_a,2023-09-26 07:19:00+00:00,2026-02-19 15:51:13+00:00
CUST-00079,user996@mail.com,,vendor_b,2023-11-28 11:42:35+00:00,2026-02-19 15:51:13+00:00
CUST-00080,user345@mail.com,+2348067498960,vendor_b,2023-02-08 20:52:34+00:00,2026-02-19 15:51:13+00:00
CUST-00081,user456@example.com,+2348078056464,vendor_a,2023-11-19 17:50:00+00:00,2026-02-19 15:51:13+00:00
CUST-00083,user1500@shop.ng,+2348053623487,vendor_a,2023-07-26 20:48:00+00:00,2026-02-19 15:51:13+00:00
CUST-00084,user237@pulse.africa,+2348073209094,vendor_b,2023-03-01 15:33:43+00:00,2026-02-19 15:51:13+00:00
CUST-00086,user1263@shop.ng,+2348086053026,vendor_b,2023-02-25 20:02:42+00:00,2026-02-19 15:51:13+00:00
